197315,ALABAMA,4,0.11,West
197315,ALASKA,38,11.14,Southeast
197315,ARIZONA,0,0,Southwest
197315,ARKANSAS,16,0.76,Southeast
197315,CALIFORNIA,198,0.94,West
197315,COLORADO,14,0.55,West
197315,CONNECTICUT,37,1.2,Northeast
197315,DELAWARE,17,2.92,Southeast
197315,D.COLUMBIA,0,0,Southeast
197315,FLORIDA,3,0.76,Southeast
197315,GEORGIA,0,0,Southeast
197315,HAWAII,14,1.61,West
197315,IDAHO,2,0.25,West
197315,ILLINOIS,102,0.91,Midwest
197315,INDIANA,39,0.73,Midwest
197315,IOWA,190,6.63,Midwest
197315,KANSAS,20,0.88,Midwest
197315,KENTUCKY,74,2.17,Southeast
197315,LOUISIANA,8,0.21,Southwest
197315,MAINE,4,0.38,Northeast
197315,MARYLAND,11,0.27,Southeast
197315,MASSACHUSETTS,36,0.62,Northeast
197315,MICHIGAN,227,2.49,Midwest
197315,MINNESOTA,3,0.08,Midwest
197315,MISSISSIPPI,24,1.01,Midwest
197315,MISSOURI,13,0.27,Midwest
197315,MONTANA,16,2.17,West
197315,NEBRASKA,4,0.26,Midwest
197315,NEVADA,0,0,West
197315,NEW HAMPSHIRE,5,0.61,Northeast
197315,NEW JERSEY,65,0.89,Northeast
197315,NEW MEXICO,62,5.48,West
197315,NEW YORK,100,7.34,Northeast
197315,NORTH DAKOTA,1,0.16,Midwest
197315,OHIO,217,2.02,Midwest
197315,OKLAHOMA,18,0.66,Southwest
197315,OREGON,56,2.45,West
197315,PENNSYLVANIA,60,0.51,Northeast
197315,RHODE ISLAND,27,2.84,Northeast
197315,SOUTH CAROLINA,28,0.98,Southeast
197315,SOUTH DAKOTA,1,0.15,Midwest
197315,TENNESSEE,70,1.66,Southeast
197315,TEXAS,69,0.56,Southwest
197315,UTAH,0,0,West
197315,VERMONT,2,0.42,Northeast
197315,VIRGINIA,46,0.93,Southeast
197315,WASHINGTON,38,1.07,West
197315,WEST VIRGINIA,89,4.9,Southeast
197315,WISCONSIN,169,3.72,Midwest
197315,WYOMING,14,3.83,West
197315,WYOMING,14,3.83,West
